id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR040141 1 1 1 2 2 2 1 1 1 1 1 1 2 2
ERR040142 1 1 1 2 2 2 1 1 1 1 1 1 2 1
ERR1034576 1 1 1 1 1 1 1 2 1 2 1 1 1 1
ERR1034577 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR1034578 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034579 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034580 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034581 2 1 2 1 1 2 2 2 2 1 2 2 2 1
ERR1034582 2 2 2 1 1 2 2 2 2 1 2 2 2 2
ERR1034583 2 2 2 2 1 2 2 1 2 1 2 2 2 2
ERR1034584 2 1 2 2 1 2 2 2 2 1 2 2 2 1
ERR1034585 2 1 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034586 2 1 2 2 1 2 2 1 1 1 1 2 2 1
ERR1034587 2 1 2 2 1 2 2 2 1 1 1 2 2 2
ERR1034588 2 1 2 1 1 2 2 1 1 1 1 2 2 1
ERR1034589 2 1 2 1 1 2 2 2 2 1 2 2 2 1
ERR1034590 2 1 2 2 1 2 2 2 2 1 1 2 2 2
ERR1034591 2 1 2 1 2 2 2 1 2 1 1 2 2 2
ERR1034592 2 2 2 2 2 2 2 2 2 1 2 2 2 1
ERR1034593 2 2 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034594 2 1 2 2 1 2 2 2 1 1 2 2 2 2
ERR1034595 2 2 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034596 2 2 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034597 2 1 2 2 1 2 2 2 1 1 1 2 2 2
ERR1034598 2 2 2 2 2 2 2 1 2 1 2 2 2 2
ERR1034599 2 1 2 1 1 2 2 1 1 1 1 2 2 1
ERR1034600 2 2 2 2 1 2 2 2 2 1 1 2 2 2
ERR1034601 2 2 2 2 1 2 2 1 2 1 2 2 2 2
ERR1034602 2 2 2 1 1 2 2 2 2 1 1 2 2 1
ERR1034603 2 2 2 2 1 2 2 2 2 1 2 2 2 1
ERR1034604 2 2 2 2 2 2 2 1 2 2 2 2 2 2
ERR1034605 2 1 2 2 1 2 2 1 1 1 2 2 2 2
ERR1034606 2 1 2 1 1 2 2 2 2 1 2 2 2 1
ERR1034607 2 1 2 2 1 2 2 1 1 1 1 2 2 1
ERR1034608 2 1 2 1 1 2 2 1 2 1 2 2 2 1
ERR1034609 2 1 2 2 2 2 2 1 2 1 2 2 2 2
ERR1034610 2 1 2 2 1 2 2 1 2 1 2 2 2 1
ERR1034612 2 2 2 2 1 2 2 1 1 1 1 2 2 2
ERR1034613 2 1 2 2 1 2 2 1 1 1 2 2 2 2
ERR1034614 2 1 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034615 2 1 2 2 1 2 2 2 2 1 1 2 2 2
ERR1034616 2 1 2 2 1 2 2 2 2 2 2 2 2 2
ERR1034617 2 1 2 2 1 2 2 2 1 1 1 2 2 2
ERR1034618 2 2 1 1 2 2 2 1 2 1 2 1 1 1
ERR1034619 1 1 1 1 1 2 1 1 1 1 2 1 1 1
ERR1034620 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR1034621 2 2 2 1 1 1 2 1 2 2 1 1 1 1
ERR1034622 1 1 1 1 1 1 1 1 1 1 1 1 1 2
ERR1034624 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034626 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034627 1 1 1 1 2 2 1 1 1 1 2 1 1 1
ERR1034628 1 1 1 1 2 2 1 1 1 1 1 1 1 1
ERR1034631 1 1 1 1 1 2 1 1 1 1 2 1 1 1
